# Weather station Alexandroupoli (airport), Greece, WMO_ID=16627,selection from 01.01.2024 till 12.04.2026, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=16627&lang=en
#
"Local time in Alexandroupoli (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.04.2026 12:00";"10.8";"764.4";"764.8";"";"68";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"15.0";"5.1";"";"";"";"";"";"";
"11.04.2026 09:00";"6.6";"764.4";"764.9";"0.3";"85";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"4.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"15.0";"4.3";"No precipitation";"12";"Surface of ground moist.";"";"";"";
"11.04.2026 06:00";"5.2";"764.1";"764.6";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"20.0";"3.8";"";"";"";"";"";"";
"11.04.2026 03:00";"5.0";"764.7";"765.2";"0.3";"90";"Wind blowing from the north-east";"3";"";"5";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.5";"No precipitation";"6";"";"";"";"";
"11.04.2026 00:00";"6.6";"764.4";"764.9";"";"88";"Wind blowing from the north-east";"3";"";"8";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"4.8";"";"";"";"";"";"";
"10.04.2026 21:00";"8.8";"763.7";"764.1";"1.0";"79";"Wind blowing from the north-northeast";"2";"";"3";"90  or more, but not 100%";" ";"";"";"";"13.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"5.3";"Trace of precipitation";"12";"";"";"";"";
"10.04.2026 18:00";"10.4";"762.7";"763.1";"";"68";"Wind blowing from the east";"2";"";"20";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"4.6";"";"";"";"";"";"";
"10.04.2026 15:00";"11.6";"762.6";"763.0";"-0.4";"55";"Wind blowing from the south-east";"3";"";"6";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"2.9";"Trace of precipitation";"6";"";"";"";"";
"10.04.2026 12:00";"10.6";"763.0";"763.4";"";"61";"Wind blowing from the north-east";"4";"";"10";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.3";"";"";"";"";"";"";
"10.04.2026 09:00";"6.6";"762.2";"762.6";"1.1";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"3.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"4.8";"1.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"";"";"";
"10.04.2026 06:00";"5.0";"761.1";"761.5";"";"90";"Wind blowing from the east";"3";"";"12";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.5";"";"";"";"";"";"";
"10.04.2026 03:00";"5.4";"761.4";"761.8";"-0.4";"88";"Wind blowing from the north-northeast";"3";"";"8";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.5";"1.0";"6";"";"";"";"";
"10.04.2026 00:00";"8.0";"761.8";"762.2";"";"92";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.7";"";"";"";"";"";"";
"09.04.2026 21:00";"10.0";"760.6";"761.0";"0.3";"68";"Wind blowing from the north";"8";"";"11";"90  or more, but not 100%";" ";"";"";"";"15.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.2";"No precipitation";"12";"";"";"";"";
"09.04.2026 18:00";"13.4";"760.3";"760.7";"";"58";"Wind blowing from the west-southwest";"4";"";"17";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"5.3";"";"";"";"";"";"";
"09.04.2026 15:00";"14.2";"760.4";"760.8";"-1.5";"58";"Wind blowing from the south-southwest";"5";"";"9";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"5.9";"No precipitation";"6";"";"";"";"";
"09.04.2026 12:00";"13.2";"761.9";"762.3";"";"54";"Wind blowing from the south-southeast";"3";"";"20";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"4.0";"";"";"";"";"";"";
"09.04.2026 09:00";"8.8";"761.2";"761.6";"0.1";"76";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"7.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.8";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"09.04.2026 06:00";"8.0";"761.1";"761.5";"";"72";"Wind blowing from the north";"2";"";"7";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.3";"";"";"";"";"";"";
"09.04.2026 03:00";"8.0";"762.1";"762.5";"-0.3";"78";"Wind blowing from the north-northeast";"3";"";"6";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.3";"No precipitation";"6";"";"";"";"";
"09.04.2026 00:00";"9.0";"762.4";"762.8";"";"79";"Wind blowing from the north-east";"4";"";"13";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"5.5";"";"";"";"";"";"";
"08.04.2026 21:00";"12.0";"761.9";"762.3";"1.5";"54";"Wind blowing from the east";"3";"";"12";"40%.";" ";"";"";"";"21.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.9";"No precipitation";"12";"";"";"";"";
"08.04.2026 18:00";"17.0";"760.4";"760.8";"";"52";"Wind blowing from the east";"8";"";"24";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.0";"";"";"";"";"";"";
"08.04.2026 15:00";"20.0";"760.2";"760.6";"";"56";"Wind blowing from the west-southwest";"6";"";"12";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.9";"No precipitation";"6";"";"";"";"";
"08.04.2026 09:00";"14.0";"759.2";"759.6";"1.0";"89";"Calm, no wind";"0";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.2";"0.2";"12";"Surface of ground moist.";"";"";"";
"08.04.2026 06:00";"12.2";"758.2";"758.6";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"10.7";"";"";"";"";"";"";
"08.04.2026 03:00";"13.4";"758.9";"759.3";"-0.7";"93";"Wind blowing from the north-west";"2";"";"4";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"12.3";"Trace of precipitation";"6";"";"";"";"";
"08.04.2026 00:00";"12.8";"759.6";"760.0";"";"91";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"11.3";"";"";"";"";"";"";
"07.04.2026 21:00";"16.4";"760.2";"760.6";"-0.4";"76";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"20.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"20.0";"12.1";"No precipitation";"12";"";"";"";"";
"07.04.2026 18:00";"18.8";"760.6";"761.0";"";"63";"Wind blowing from the west";"4";"";"14";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"11.6";"";"";"";"";"";"";
"07.04.2026 15:00";"18.4";"762.4";"762.8";"-1.2";"64";"Wind blowing from the west-southwest";"5";"";"8";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"11.5";"No precipitation";"6";"";"";"";"";
"07.04.2026 12:00";"17.2";"763.6";"764.0";"";"68";"Wind blowing from the south";"4";"";"12";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"11.3";"";"";"";"";"";"";
"07.04.2026 09:00";"14.4";"763.3";"763.7";"0.7";"82";"Wind blowing from the east-northeast";"2";"";"3";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"25.0";"11.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"07.04.2026 06:00";"7.8";"762.6";"763.0";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"6.0";"";"";"";"";"";"";
"07.04.2026 03:00";"10.0";"762.8";"763.2";"-1.0";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"7.1";"No precipitation";"6";"";"";"";"";
"07.04.2026 00:00";"13.6";"763.8";"764.2";"";"75";"Wind blowing from the west-northwest";"3";"";"8";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"9.3";"";"";"";"";"";"";
"06.04.2026 21:00";"14.4";"763.9";"764.3";"-0.1";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"19.6";"";"";"";"";"";"15.0";"8.9";"No precipitation";"12";"";"";"";"";
"06.04.2026 18:00";"18.0";"764.0";"764.4";"";"57";"Wind blowing from the west-southwest";"4";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"9.3";"";"";"";"";"";"";
"06.04.2026 15:00";"18.6";"765.5";"765.9";"-0.1";"46";"Wind blowing from the south-west";"3";"";"5";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"6.7";"No precipitation";"6";"";"";"";"";
"06.04.2026 12:00";"17.6";"765.6";"766.0";"";"65";"Wind blowing from the south-east";"2";"";"6";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"11.0";"";"";"";"";"";"";
"06.04.2026 09:00";"9.6";"766.7";"767.1";"0.8";"90";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"6.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"8.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"06.04.2026 06:00";"7.2";"765.9";"766.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"5.9";"";"";"";"";"";"";
"06.04.2026 03:00";"8.8";"766.1";"766.5";"0.0";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"7.1";"No precipitation";"6";"";"";"";"";
"06.04.2026 00:00";"9.4";"766.1";"766.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"15.0";"7.3";"";"";"";"";"";"";
"05.04.2026 21:00";"14.0";"765.5";"765.9";"0.7";"76";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"19.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"9.8";"No precipitation";"12";"";"";"";"";
"05.04.2026 18:00";"19.8";"764.8";"765.2";"";"53";"Wind blowing from the south-west";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"9.8";"";"";"";"";"";"";
"05.04.2026 15:00";"19.4";"765.5";"765.9";"-0.2";"47";"Wind blowing from the east-northeast";"3";"";"8";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"7.8";"No precipitation";"6";"";"";"";"";
"05.04.2026 12:00";"19.4";"765.7";"766.1";"";"47";"Wind blowing from the north-east";"5";"";"18";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"7.8";"";"";"";"";"";"";
"05.04.2026 09:00";"13.8";"764.9";"765.3";"1.3";"78";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"10.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"9.9";"No precipitation";"12";"Surface of ground moist.";"";"";"";
"05.04.2026 06:00";"11.0";"763.6";"764.0";"";"88";"Wind blowing from the north-northwest";"2";"";"7";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.0";"";"";"";"";"";"";
